cycle,contestant,elimination-1,elimination-2,elimination-3,elimination-4,elimination-5,elimination-6,elimination-7,elimination-8,elimination-9,elimination-10,elimination-11,elimination-12,elimination-13
5,Coryn,9.0,6.0,6.333333333333333,6.5,6.8,0,0,0,0,0,0,0,0
5,Nik,1.0,3.5,3.3333333333333335,3.25,4.0,3.8333333333333335,3.7142857142857144,3.75,3.4444444444444446,3.3,3.090909090909091,3.0,0
5,Jayla,5.0,6.5,4.666666666666667,4.0,3.6,3.6666666666666665,3.857142857142857,4.0,3.7777777777777777,3.8,0,0,0
5,Sarah,12.0,10.5,10.333333333333334,0,0,0,0,0,0,0,0,0,0
5,Diane,4.0,7.5,7.0,7.5,0,0,0,0,0,0,0,0,0
5,Kyle,6.0,8.0,6.0,4.75,4.8,5.166666666666667,0,0,0,0,0,0,0
5,Ashley,13.0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ebony,8.0,10.0,0,0,0,0,0,0,0,0,0,0,0
5,Kim,11.0,7.5,8.0,7.5,6.6,5.666666666666667,5.142857142857143,4.625,4.666666666666667,0,0,0,0
5,Lisa,2.0,3.5,4.0,4.0,3.4,3.1666666666666665,3.5714285714285716,0,0,0,0,0,0
5,Bre,7.0,7.0,6.0,6.5,6.4,6.333333333333333,5.571428571428571,5.125,5.0,4.8,4.636363636363637,0,0
5,Nicole,10.0,6.0,6.666666666666667,6.25,5.8,5.666666666666667,5.571428571428571,5.25,5.0,4.6,4.363636363636363,4.083333333333333,0
5,Cassandra,3.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0
6,Joanie,4.0,7.0,6.0,5.0,5.2,4.5,4.0,4.0,3.6666666666666665,3.4,3.1818181818181817,3.0833333333333335,0
6,Kathy,13.0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gina,10.0,8.0,8.666666666666666,9.0,0,0,0,0,0,0,0,0,0
6,Jade,7.0,9.0,6.333333333333333,6.0,6.4,5.666666666666667,5.714285714285714,5.25,5.111111111111111,4.8,4.636363636363637,0,0
6,Sara,2.0,5.5,5.666666666666667,6.0,5.2,5.5,5.285714285714286,5.0,4.666666666666667,4.6,0,0,0
6,Leslie,3.0,5.5,6.333333333333333,5.75,5.2,5.666666666666667,0,0,0,0,0,0,0
6,Nnenna,1.0,2.0,4.333333333333333,5.25,5.2,4.833333333333333,4.571428571428571,4.75,0,0,0,0,0
6,Wendy,11.0,11.5,0,0,0,0,0,0,0,0,0,0,0
6,Mollie Sue,8.0,7.5,6.666666666666667,6.5,7.0,0,0,0,0,0,0,0,0
6,Brooke,9.0,5.0,4.333333333333333,5.5,5.8,5.833333333333333,6.0,0,0,0,0,0,0
6,Danielle,6.0,4.0,3.3333333333333335,3.25,3.4,3.6666666666666665,3.857142857142857,3.5,3.4444444444444446,3.4,3.272727272727273,3.0833333333333335,0
6,Kari,5.0,4.5,6.666666666666667,0,0,0,0,0,0,0,0,0,0
6,Furonda,12.0,8.5,8.0,6.25,5.2,5.0,4.571428571428571,4.625,4.666666666666667,0,0,0,0
6,Joanie,4.0,7.0,6.0,5.0,5.2,4.5,4.0,4.0,3.6666666666666665,3.4,3.1818181818181817,3.0833333333333335,0
7,Jaeda,9.0,10.0,7.333333333333333,7.75,7.8,7.333333333333333,6.714285714285714,6.625,0,0,0,0,0
7,Michelle,1.0,2.5,3.3333333333333335,3.75,4.0,4.333333333333333,4.571428571428571,4.5,4.555555555555555,0,0,0,0
7,Christian,13.0,0,0,0,0,0,0,0,0,0,0,0,0
7,Megan,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0
7,A.J.,3.0,4.0,3.0,3.0,4.2,0,0,0,0,0,0,0,0
7,Anchal,5.0,3.5,3.6666666666666665,4.25,4.8,4.5,4.857142857142857,0,0,0,0,0,0
7,CariDee,2.0,4.0,5.666666666666667,4.5,4.4,4.0,3.5714285714285716,3.75,3.6666666666666665,3.6,3.3636363636363638,3.1666666666666665,0
7,Melrose,12.0,6.5,6.333333333333333,5.75,5.0,4.833333333333333,4.428571428571429,4.0,3.7777777777777777,3.5,3.3636363636363638,3.25,0
7,Monique,7.0,8.5,9.333333333333334,0,0,0,0,0,0,0,0,0,0
7,Brooke,11.0,9.0,7.0,7.25,6.0,6.333333333333333,0,0,0,0,0,0,0
7,Eugena,10.0,9.0,9.333333333333334,7.5,7.2,7.166666666666667,6.857142857142857,6.25,5.666666666666667,5.3,5.090909090909091,0,0
7,Amanda,8.0,5.5,6.333333333333333,6.5,5.8,5.0,4.857142857142857,4.625,4.555555555555555,4.5,0,0,0
7,Megg,6.0,7.5,7.333333333333333,8.0,0,0,0,0,0,0,0,0,0
8,Renee,7.0,5.5,5.666666666666667,4.5,4.8,4.833333333333333,4.714285714285714,4.375,4.222222222222222,3.9,3.8181818181818183,0,0
8,Jael,12.0,10.0,7.333333333333333,7.0,7.0,6.0,6.0,6.0,0,0,0,0,0
8,Jaslene,1.0,1.0,3.6666666666666665,4.0,4.0,4.333333333333333,4.428571428571429,4.25,3.888888888888889,3.7,3.4545454545454546,3.25,0
8,Felicia,3.0,2.5,3.3333333333333335,5.0,0,0,0,0,0,0,0,0,0
