cycle,contestant,age,height,hometown,finish,place
1,Tessa Carlson,19,5 ft 9 in,"Chicago, Illinois",Episode 1,10
1,Katie Cleary,21,5 ft 9 in,"Glenview, Illinois",Episode 2,9
1,Nicole Panattoni,22,5 ft 11 in,"Murrieta, California",Episode 3,8
1,Ebony Haith,24,5 ft 10 in,"Bronx, New York",Episode 4,7
1,Giselle Samson,18,5 ft 10 in,"Corona, California",Episode 5,6
1,Kesse Wallace,21,5 ft 9 in,"North Little Rock, Arkansas",Episode 6,5
1,Robin Manning,26,5 ft 9 in,"Memphis, Tennessee",Episode 7,4
1,Elyse Sewell,20,5 ft 10 in,"Albuquerque, New Mexico",Episode 9,3
1,Shannon Stewart,18,5 ft 10.5 in,"Franklin, Ohio",Episode 9,2
1,Adrianne Curry,20,5 ft 10.5 in,"Joliet, Illinois",Episode 9,1
2,Anna Bradfield,24,5 ft 8 in,"LaGrange, Georgia",Episode 1,12
2,Bethany Harrison,22,5 ft 8 in,"Houston, Texas",Episode 2,11
2,Heather Blumberg,18,5 ft 10 in,"Moreno Valley, California",Episode 3,10
2,Jenascia Chakos,21,5 ft 7 in,"Burien, Washington",Episode 4,9
2,Xiomara Frans,25,5 ft 11 in,"Morganville, New Jersey",Episode 5,8
2,Catie Anderson,18,5 ft 10 in,"Willmar, Minnesota",Episode 6,7
2,Sara Racey-Tabrizi,22,5 ft 9 in,"Seattle, Washington",Episode 7,6
2,Camille McDonald,25,5 ft 9.5 in,"Mamaroneck, New York",Episode 8,5
2,April Wilkner,23,5 ft 9 in,"Miami Beach, Florida",Episode 10,4
2,Shandi Sullivan,21,5 ft 10 in,"Kansas City, Missouri",Episode 11,3
2,Mercedes Scelba-Shorte,21,5 ft 8 in,"Valencia, California",Episode 11,2
2,Yoanna House,23,5 ft 11 in,"Jacksonville, Florida",Episode 11,1
3,Magdalena Rivas,24,5 ft 9 in,"Worcester, Massachusetts",Episode 2,14
3,Leah Darrow,24,5 ft 9 in,"Oklahoma City, Oklahoma",Episode 2,13
3,Julie Titus,19,5 ft 10 in,"Kent, Washington",Episode 3,12
3,Kristi Grommet,20,5 ft 10 in,"St. Louis, Missouri",Episode 4,11
3,Jennipher Frost,22,5 ft 10 in,"Pocatello, Idaho",Episode 5,10
3,Kelle Jacob,20,5 ft 11 in,"New York, New York",Episode 6,9
3,Cassie Grisham,19,5 ft 10 in,"Norman, Oklahoma",Episode 7,8
3,Toccara Jones,22,5 ft 9 in,"Dayton, Ohio",Episode 8,7
3,Nicole Borud,21,5 ft 8 in,"Minot, North Dakota",Episode 9,6
3,Norelle Van Herk,19,5 ft 10.5 in,"Newport Beach, California",Episode 11,5
3,Ann Markley,21,5 ft 11 in,"Erie, Pennsylvania",Episode 12,4
3,Amanda Swafford,25,5 ft 8 in,"Hendersonville, North Carolina",Episode 13,3
3,Yaya DaCosta,21,5 ft 8 in,"Harlem, New York",Episode 13,2
3,Eva Pigford,19,5 ft 7 in,"Los Angeles, California",Episode 13,1
4,Brita Petersons,25,5 ft 9 in,"La Caê±ada, California",Episode 2,14
4,Sarah Dankelman,22,5 ft 9 in,"Baltimore, Maryland",Episode 3,13
4,Brandy Rusher,20,5 ft 8 in,"Houston, Texas",Episode 4,12
4,Noelle Staggers,20,5 ft 8 in,"Reno, Nevada",Episode 5,11
4,Lluvy Gomez,21,5 ft 9 in,"Modesto, California",Episode 6,10
4,Tiffany Richardson,22,5 ft 9 in,"Miami, Florida",Episode 7,8
4,Rebecca Epley,22,5 ft 10 in,"Minneapolis, Minnesota",Episode 7,8
4,Tatiana Dante,18,5 ft 10 in,"Maui, Hawaii",Episode 8,7
