cycle,contestant,place
1,Shannon,2
2,Jenascia,9
3,Leah,13
4,Brandy,12
5,Sarah,10
6,Furonda,6
7,Melrose,2
8,Jael,6
9,Ebony,9
10,Amis,11
11,Nikeysha,13
12,Sandra,9
13,Bianca,10
14,Alasia,6
15,Terra,13
16,Dominique,11
17,Alexandria,7
18,Ashley,10
19,Destiny,10
20,Mike,13
21,Will,2
22,Stefano,13
23,Krislian,11
