eliminated,eliminatedavg,bottomtwo,bottomtwoavg
Nicole,9.0,Dalya,5.0
Dominique,9.5,Sara,9.5
Sara,9.666666666666666,Alexandria,4.0
Dalya,7.0,Molly,4.75
Monique,5.4,Mikaela,6.2
Mikaela,6.333333333333333,Brittani,3.0
Jaclyn,5.142857142857143,Molly,4.571428571428571
Kasia,4.375,Alexandria,4.75
Alexandria,4.666666666666667,Hannah,3.2222222222222223
Hannah,3.2,Brittani,3.2
Molly,3.6363636363636362,Brittani,3.090909090909091
Sheena,11.0,Kayla,12.0
Isis,5.0,Angelea,5.0
Camille,6.666666666666667,Lisa,4.333333333333333
Bre,7.0,Alexandria,7.4
Angelea,5.833333333333333,Angelea,5.833333333333333
Alexandria,7.142857142857143,Angelea,6.142857142857143
Shannon,5.75,Laura,4.875
Dominique,4.666666666666667,Angelea,5.777777777777778
Laura,4.5,Allison,3.3
Allison,3.272727272727273,Lisa,4.4167
Mariah,7.0,Seymone,1.0
Ashley,8.0,Sophie,4.0
Catherine,4.5,Annaliese,8.0
AzMarie,4.6,Kyle,4.2
Kyle,4.833333333333333,Alisha,7.5
Seymone,4.857142857142857,Eboni,5.428571428571429
Catherine,4.875,Alisha,6.625
Eboni,5.333333333333333,Alisha,6.444444444444445
Annaliese,5.8,Laura,3.2
Laura,3.090909090909091,Sophie,3.1818181818181817
Darian,10.0,Yvonne,7.0
Destiny,10.0,Yvonne,8.5
Leila,2.3333333333333335,Brittany,2.6666666666666665
Yvonne,8.0,Victoria,5.5
Allyssa,5.0,Laura,2.6
Brittany,3.3333333333333335,Victoria,5.5
Victoria,5.428571428571429,Kiara,5.285714285714286
Kristin,4.5,Laura,2.75
Nastasia,3.3333333333333335,Laura,2.888888888888889
Kiara,4.5,Laura,2.7273
Chlea,12.0,Don,2.0
Mike,7.5,Jeremy,9.5
Alex,7.333333333333333,Jiana,4.333333333333333
Kanani,7.5,Phil,7.75
Jiana,6.4,Phil,8.0
Phil,8.0,Marvin,6.0
Alex,4.857142857142857,Chris H.,4.0
Don,5.125,Marvin,6.25
Nina,4.222222222222222,Chris H.,4.6667
Chris H.,4.7,Cory,4.5
Cory,4.363636363636363,Marvin,5.545454545454546
Marvin,5.25,Jourdan,3.1666666666666665
Chantelle,6.0,Kari,9.0
Lenox,2.0,Adam,10.5
Ben,5.666666666666667,Keith,3.0
Kari,9.5,Raelia,5.0
Matthew,5.4,Mirjana,4.4
Denzel,6.5,Lenox,3.0
Mirjana,5.0,Raelia,5.428571428571429
Raelia,5.625,Chantelle,2.5
Chantelle,2.888888888888889,Adam,6.555555555555555
Shei,5.7,Lenox,3.3
Lenox,3.3636363636363638,Keith,3.8181818181818183
Will,3.6666666666666665,Keith,3.75
Stefano,13.0,Hadassah,10.0
Dustin,11.0,Hadassah,11.0
Ava,4.666666666666667,Courtney,7.666666666666667
Ashley,7.75,Devin,3.5
Bello,5.8,Devin,4.6
Justin,5.333333333333333,Devin,5.0
Dustin,4.857142857142857,Hadassah,7.285714285714286
Hadassah,7.125,Lacey,2.75
Devin,4.555555555555555,Nyle,4.555555555555555
Mamé,3.4166666666666665,Nyle,4.0
Cherish,11.0,Krislian,12.0
Tash,7.5,Cory Anne,7.5
Giah,6.333333333333333,Kyle,8.666666666666666
Krislian,8.5,Kyle,9.0
Kyle,9.0,Marissa,5.4
Binta,6.5,Courtney,4.5
Marissa,5.571428571428571,Courtney,4.857142857142857
Paige,5.125,Cory Anne,5.125
Tash,3.111111111111111,Courtney,4.888888888888889
Cody,3.5,Tatiana,4.2
Courtney,4.636363636363637,Cory Anne,4.909090909090909
Tatiana,4.0,India,3.0
